id,r,g,b
0,190,153,123
1,184,147,117
2,166,130,94
3,156,120,84
4,193,156,123
5,196,159,126
6,178,143,125
7,131,96,78
8,119,82,86
9,114,77,81
10,159,122,92
11,178,141,111
12,181,145,109
13,190,154,118
14,133,96,63
15,105,68,35
16,128,93,75
17,117,82,64
18,79,42,46
19,134,97,101
20,244,203,169
21,185,144,110
22,206,169,129
23,248,211,171
24,191,153,116
25,190,152,115
26,255,223,200
27,131,94,71
28,119,82,78
29,117,80,76
30,155,114,80
31,155,114,80
32,111,74,34
33,229,192,152
34,213,175,138
35,225,187,150
36,223,186,163
37,157,120,97
38,197,160,156
39,162,125,121
40,101,58,14
41,145,102,58
42,113,73,26
43,182,142,95
44,236,196,156
45,215,175,135
46,197,158,129
47,142,103,74
48,201,163,148
49,238,200,185
50,115,72,28
51,178,135,91
52,125,85,38
53,160,120,73
54,192,152,112
55,168,128,88
56,126,87,58
57,145,106,77
58,209,171,156
59,223,185,170
60,182,137,82
61,165,120,65
62,214,170,119
63,189,145,94
64,180,139,95
65,69,28,0
66,119,78,44
67,188,147,113
68,149,110,83
69,120,81,54
70,190,145,90
71,206,161,106
72,220,176,125
73,122,78,27
74,210,169,125
75,125,84,40
76,105,64,30
77,136,95,61
78,134,95,68
79,176,137,110
